Pos.,No.,Driver,Team,Laps,Time / Retired,Pts.,Year,Country,Race Date,Race Link
3,77,Valtteri BottasBOT,Williams Mercedes,70.0,+40.666s,15.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
4,7,Kimi RäikkönenRAI,Ferrari,70.0,+45.625s,12.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
5,5,Sebastian VettelVET,Ferrari,70.0,+49.903s,10.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
6,19,Felipe MassaMAS,Williams Mercedes,70.0,+56.381s,8.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
7,13,Pastor MaldonadoMAL,Lotus Mercedes,70.0,+66.664s,6.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
8,27,Nico HulkenbergHUL,Force India Mercedes,69.0,+1 lap,4.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
9,26,Daniil KvyatKVY,Red Bull Racing Renault,69.0,+1 lap,2.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
10,8,Romain GrosjeanGRO,Lotus Mercedes,69.0,+1 lap,1.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
11,11,Sergio PerezPER,Force India Mercedes,69.0,+1 lap,0.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
12,55,Carlos SainzSAI,STR Renault,69.0,+1 lap,0.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
13,3,Daniel RicciardoRIC,Red Bull Racing Renault,69.0,+1 lap,0.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
14,9,Marcus EricssonERI,Sauber Ferrari,69.0,+1 lap,0.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
15,33,Max VerstappenVER,STR Renault,69.0,+1 lap,0.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
16,12,Felipe NasrNAS,Sauber Ferrari,68.0,+2 laps,0.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
17,28,Will StevensSTE,Marussia Ferrari,66.0,+4 laps,0.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
NC,98,Roberto MerhiMER,Marussia Ferrari,57.0,DNF,0.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
NC,22,Jenson ButtonBUT,McLaren Honda,54.0,DNF,0.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
NC,14,Fernando AlonsoALO,McLaren Honda,44.0,DNF,0.0,2015,Flag of CanadaCanada,07 Jun,https://www.formula1.com/en/results/2015/races/923/canada/race-result
1,6,Nico RosbergROS,Mercedes,71.0,1:30:16.930,25.0,2015,Flag of AustriaAustria,21 Jun,https://www.formula1.com/en/results/2015/races/924/austria/race-result
2,44,Lewis HamiltonHAM,Mercedes,71.0,+8.800s,18.0,2015,Flag of AustriaAustria,21 Jun,https://www.formula1.com/en/results/2015/races/924/austria/race-result
3,19,Felipe MassaMAS,Williams Mercedes,71.0,+17.573s,15.0,2015,Flag of AustriaAustria,21 Jun,https://www.formula1.com/en/results/2015/races/924/austria/race-result
4,5,Sebastian VettelVET,Ferrari,71.0,+18.181s,12.0,2015,Flag of AustriaAustria,21 Jun,https://www.formula1.com/en/results/2015/races/924/austria/race-result
5,77,Valtteri BottasBOT,Williams Mercedes,71.0,+53.604s,10.0,2015,Flag of AustriaAustria,21 Jun,https://www.formula1.com/en/results/2015/races/924/austria/race-result
6,27,Nico HulkenbergHUL,Force India Mercedes,71.0,+64.075s,8.0,2015,Flag of AustriaAustria,21 Jun,https://www.formula1.com/en/results/2015/races/924/austria/race-result
7,13,Pastor MaldonadoMAL,Lotus Mercedes,70.0,+1 lap,6.0,2015,Flag of AustriaAustria,21 Jun,https://www.formula1.com/en/results/2015/races/924/austria/race-result
8,33,Max VerstappenVER,STR Renault,70.0,+1 lap,4.0,2015,Flag of AustriaAustria,21 Jun,https://www.formula1.com/en/results/2015/races/924/austria/race-result
9,11,Sergio PerezPER,Force India Mercedes,70.0,+1 lap,2.0,2015,Flag of AustriaAustria,21 Jun,https://www.formula1.com/en/results/2015/races/924/austria/race-result
10,3,Daniel RicciardoRIC,Red Bull Racing Renault,70.0,+1 lap,1.0,2015,Flag of AustriaAustria,21 Jun,https://www.formula1.com/en/results/2015/races/924/austria/race-result
11,12,Felipe NasrNAS,Sauber Ferrari,70.0,+1 lap,0.0,2015,Flag of AustriaAustria,21 Jun,https://www.formula1.com/en/results/2015/races/924/austria/race-result
12,26,Daniil KvyatKVY,Red Bull Racing Renault,70.0,+1 lap,0.0,2015,Flag of AustriaAustria,21 Jun,https://www.formula1.com/en/results/2015/races/924/austria/race-result
13,9,Marcus EricssonERI,Sauber Ferrari,69.0,+2 laps,0.0,2015,Flag of AustriaAustria,21 Jun,https://www.formula1.com/en/results/2015/races/924/austria/race-result
